# theta [deg]	wasp_takeoff_angle [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
15	80	0	39.285477	48.233797	1579.7058	0.26449047	113.8233	14.999781	-96.987865	-69.611089	-0.42725231
16	80	0	39.277093	48.145782	1557.9592	0.26328394	114.01879	15.999775	-97.04359	-69.794613	-0.43742993
17	80	0	39.268696	48.058344	1536.455	0.26203337	114.22647	16.999777	-97.098939	-69.950163	-0.44854999
18	80	0	39.260308	47.971683	1515.2474	0.2607395	114.44633	17.999742	-97.153787	-70.080997	-0.46066943
19	80	0	39.251945	47.885958	1494.3803	0.25940298	114.67833	18.99994	-97.208033	-70.189929	-0.47384883
20	80	0	39.243626	47.801339	1473.8996	0.25802486	114.92247	19.999746	-97.261569	-70.279313	-0.48815386

0	90	0	38.107459	55.509926	3789.3024	0.27762664	112.39016	0.00060496427	-82.488788	-46.433607	-0.70889588
1	90	0	38.577693	49.426252	1874.3227	0.27692972	112.39661	0.99993846	-86.265082	-58.517438	-0.35599539
2	90	0	38.581641	49.348375	1854.461	0.27623819	112.41592	1.9999359	-86.313647	-61.349874	-0.35677753
3	90	0	38.585498	49.271302	1834.7898	0.2755417	112.44809	2.9998418	-86.361713	-63.018504	-0.35808203
4	90	0	38.589315	49.193994	1815.0518	0.2748293	112.49309	3.9998898	-86.409931	-64.231551	-0.35991841
5	90	0	38.593127	49.11572	1795.0698	0.27409205	112.5509	4.999717	-86.458755	-65.199187	-0.36229981
6	90	0	38.596955	49.036013	1774.7343	0.27332275	112.62147	5.9998428	-86.508478	-66.005752	-0.36524276
7	90	0	38.600804	48.954693	1754.0095	0.27251647	112.70478	6.9998236	-86.55921	-66.693151	-0.36876707
8	90	0	38.604672	48.871748	1732.9029	0.27166961	112.80076	7.9997384	-86.610961	-67.285028	-0.37289572
9	90	0	38.60855	48.787293	1711.4541	0.27077969	112.90937	8.9998348	-86.663659	-67.797458	-0.3776548
10	90	0	38.612425	48.70155	1689.7297	0.26984532	113.03057	9.9998227	-86.717164	-68.241383	-0.3830736
11	90	0	38.616282	48.61477	1667.8033	0.26886558	113.16429	10.999939	-86.771321	-68.626207	-0.38918282
12	90	0	38.620107	48.527248	1645.7588	0.26784019	113.31048	11.999881	-86.825946	-68.959373	-0.39601456
13	90	0	38.623886	48.439264	1623.676	0.26676904	113.46909	12.999844	-86.880864	-69.247043	-0.40360414
14	90	0	38.627606	48.351098	1601.6331	0.26565232	113.64004	13.999866	-86.9359	-69.494671	-0.41198985
15	90	0	38.631256	48.263021	1579.7058	0.26449047	113.8233	14.999781	-86.990885	-69.706917	-0.4212131
16	90	0	38.634827	48.175268	1557.9592	0.26328394	114.01879	15.999775	-87.045672	-69.887991	-0.43131879
17	90	0	38.63831	48.088061	1536.455	0.26203337	114.22647	16.999777	-87.100122	-70.041084	-0.44235713
18	90	0	38.641699	48.0016	1515.2474	0.2607395	114.44633	17.999742	-87.15411	-70.169459	-0.45438451
19	90	0	38.644989	47.916046	1494.3803	0.25940298	114.67833	18.99994	-87.207536	-70.275931	-0.46746102
20	90	0	38.648177	47.831567	1473.8996	0.25802486	114.92247	19.999746	-87.260295	-70.362858	-0.48165178

