# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
66.375869	40.866944	43.45	-115.73713	-13.148862	947.81685
65.289332	40.872446	43.45	-115.03433	-13.148876	951.9917
64.20449	40.877975	43.45	-114.33938	-13.14889	956.14585
63.121432	40.883533	43.45	-113.65291	-13.148903	960.27865
62.040228	40.88912	43.45	-112.97608	-13.148918	964.38962
60.960954	40.894738	43.45	-112.30949	-13.148934	968.47831
59.883671	40.900387	43.45	-111.65119	-13.148953	972.54441
58.808429	40.906068	43.45	-111.00088	-13.148976	976.58779
57.735255	40.911781	43.45	-110.35899	-13.149003	980.60858
56.664165	40.917526	43.45	-109.72498	-13.149037	984.60702
55.595154	40.923302	43.45	-109.09869	-13.14908	988.58353
54.528219	40.92911	43.45	-108.47949	-13.149133	992.53855
53.463331	40.934948	43.45	-107.86732	-13.1492	996.47273
52.400399	40.940816	43.45	-107.26169	-13.149283	1000.3873
51.339284	40.946711	43.45	-106.66158	-13.149386	1004.2838
50.279793	40.95263	43.45	-106.06605	-13.149513	1008.1645
49.221666	40.958569	43.45	-105.47404	-13.149667	1012.0318
48.164591	40.964524	43.45	-104.88469	-13.149851	1015.8888
47.108177	40.97049	43.45	-104.29584	-13.150068	1019.7392
46.051996	40.97646	43.45	-103.70601	-13.150317	1023.5868
44.995559	40.982427	43.45	-103.11396	-13.150598	1027.436
43.93832	40.988384	43.45	-102.51714	-13.150908	1031.292
42.879767	40.994323	43.45	-101.91413	-13.151242	1035.1595
41.819462	41.000238	43.45	-101.30394	-13.151595	1039.0426
40.757059	41.006124	43.45	-100.6848	-13.151961	1042.945
39.692308	41.011977	43.45	-100.05609	-13.152334	1046.8694
38.625037	41.017794	43.45	-99.417207	-13.152706	1050.818
37.555154	41.023574	43.45	-98.767676	-13.153068	1054.7922
36.482637	41.029315	43.45	-98.107681	-13.153409	1058.7929
35.407528	41.035019	43.45	-97.436933	-13.153717	1062.8201
34.329951	41.040686	43.45	-96.755919	-13.15398	1066.8733
33.250058	41.046319	43.45	-96.065837	-13.154193	1070.9512
32.168053	41.05192	43.45	-95.367185	-13.154358	1075.0521
31.084155	41.057492	43.45	-94.660418	-13.154481	1079.174
29.998502	41.063039	43.45	-93.946231	-13.154572	1083.3155
28.91122	41.06856	43.45	-93.224442	-13.154643	1087.4756
27.822424	41.074058	43.45	-92.496204	-13.154703	1091.6531
26.73222	41.079535	43.45	-91.761438	-13.154757	1095.8469
25.640709	41.084992	43.45	-91.020499	-13.154807	1100.0562
24.547995	41.090431	43.45	-90.273779	-13.154855	1104.2797
23.454163	41.095852	43.45	-89.521914	-13.154902	1108.5165
22.359291	41.101258	43.45	-88.764998	-13.154947	1112.7659
21.263464	41.106648	43.45	-88.003505	-13.154989	1117.0268
20.166746	41.112025	43.45	-87.237613	-13.155027	1121.2985
19.069221	41.11739	43.45	-86.467652	-13.155061	1125.58
17.971017	41.122745	43.45	-85.695175	-13.155091	1129.8698
16.872392	41.128093	43.45	-84.9222	-13.155117	1134.1644
15.773743	41.133442	43.45	-84.152363	-13.15514	1138.4585
14.675625	41.138801	43.45	-83.389099	-13.155159	1142.7449
13.578731	41.144181	43.45	-82.63643	-13.155177	1147.0146
12.483798	41.149593	43.45	-81.897853	-13.155192	1151.2582
11.391532	41.15505	43.45	-81.176607	-13.155205	1155.4674
10.302666	41.160563	43.45	-80.474741	-13.155216	1159.6344
9.2179383	41.166141	43.45	-79.794667	-13.155224	1163.7518
8.1380701	41.171796	43.45	-79.137526	-13.155229	1167.8137
7.06371	41.177536	43.45	-78.503348	-13.155232	1171.8156
5.9954388	41.183364	43.45	-77.891833	-13.155233	1175.7553
4.9339667	41.189281	43.45	-77.301703	-13.155234	1179.6315
3.8810839	41.195277	43.45	-76.73149	-13.155234	1183.4407
2.8434201	41.201304	43.45	-76.182155	-13.155234	1187.1634
1.8462012	41.207196	43.45	-75.664072	-13.155234	1190.7158
0.97040458	41.212441	43.45	-75.213766	-13.155234	1193.8192
0.36981477	41.216065	43.45	-74.904257	-13.155234	1195.9409
0.098430516	41.217709	43.45	-74.767135	-13.155234	1196.8983
0.013969623	41.218221	43.45	-74.725061	-13.155234	1197.1961

0.04232237	38.730247	43.45	3.9371153	-2.8530137e-09	0.14750042
0.18853808	38.731101	43.45	-9.1060957	-1.266184e-08	0.65723175
0.58788566	38.733427	43.45	-19.169232	-3.9494803e-08	2.0506111
1.3228148	38.737686	43.45	-26.553966	-9.2071548e-08	4.620244
2.2721221	38.743133	43.45	-31.678053	-1.7510017e-07	7.9536234
3.3021992	38.748956	43.45	-35.382907	-3.0548823e-07	11.59417
4.3587623	38.75482	43.45	-38.263637	-5.2905786e-07	15.359017
5.4265183	38.760626	43.45	-40.648318	-9.5374767e-07	19.199655
6.5015449	38.766349	43.45	-42.71534	-1.8368569e-06	23.105786
7.5826963	38.771984	43.45	-44.568649	-3.7429566e-06	27.075461
8.6693698	38.777533	43.45	-46.272251	-7.600894e-06	31.10704
9.7609775	38.783002	43.45	-47.868045	-1.4239319e-05	35.197154
10.856858	38.788402	43.45	-49.384654	-2.377894e-05	39.340457
11.956309	38.793742	43.45	-50.840931	-3.5837057e-05	43.530095
