# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
7.06371	0.012543395	0.013235627	-78.503348	-13.155232	1171.8156
5.9954388	0.01254517	0.013235627	-77.891833	-13.155233	1175.7553
4.9339667	0.012546973	0.013235627	-77.301703	-13.155234	1179.6315
3.8810839	0.012548799	0.013235627	-76.73149	-13.155234	1183.4407
2.8434201	0.012550635	0.013235627	-76.182155	-13.155234	1187.1634
1.8462012	0.01255243	0.013235627	-75.664072	-13.155234	1190.7158
0.97040458	0.012554027	0.013235627	-75.213766	-13.155234	1193.8192
0.36981477	0.012555131	0.013235627	-74.904257	-13.155234	1195.9409
0.098430516	0.012555632	0.013235627	-74.767135	-13.155234	1196.8983
0.013969623	0.012555788	0.013235627	-74.725061	-13.155234	1197.1961

0.04232237	0.011797908	0.013235627	3.9371153	-2.8530137e-09	0.14750042
0.18853808	0.011798168	0.013235627	-9.1060957	-1.266184e-08	0.65723175
0.58788566	0.011798876	0.013235627	-19.169232	-3.9494803e-08	2.0506111
1.3228148	0.011800174	0.013235627	-26.553966	-9.2071548e-08	4.620244
2.2721221	0.011801833	0.013235627	-31.678053	-1.7510017e-07	7.9536234
3.3021992	0.011803607	0.013235627	-35.382907	-3.0548823e-07	11.59417
4.3587623	0.011805393	0.013235627	-38.263637	-5.2905786e-07	15.359017
5.4265183	0.011807162	0.013235627	-40.648318	-9.5374767e-07	19.199655
6.5015449	0.011808905	0.013235627	-42.71534	-1.8368569e-06	23.105786
7.5826963	0.011810622	0.013235627	-44.568649	-3.7429566e-06	27.075461
8.6693698	0.011812312	0.013235627	-46.272251	-7.600894e-06	31.10704
9.7609775	0.011813978	0.013235627	-47.868045	-1.4239319e-05	35.197154
10.856858	0.011815623	0.013235627	-49.384654	-2.377894e-05	39.340457
11.956309	0.01181725	0.013235627	-50.840931	-3.5837057e-05	43.530095
13.058622	0.011818861	0.013235627	-52.250113	-5.0062696e-05	47.758261
14.163113	0.011820462	0.013235627	-53.621476	-6.63426e-05	52.016714
15.269094	0.011822054	0.013235627	-54.960446	-8.4829475e-05	56.296514
16.375869	0.011823642	0.013235627	-56.270782	-0.00010593441	60.588165
17.48284	0.011825228	0.013235627	-57.554059	-0.00013021406	64.883327
18.589563	0.011826816	0.013235627	-58.811179	-0.0001582416	69.175734
19.695731	0.011828406	0.013235627	-60.042498	-0.00019047145	73.461115
20.801176	0.01183	0.013235627	-61.248992	-0.00022703754	77.737141
21.905807	0.011831598	0.013235627	-62.431723	-0.00026761667	82.002667
23.009557	0.0118332	0.013235627	-63.592679	-0.0003114601	86.25685
24.112355	0.011834806	0.013235627	-64.732662	-0.00035761404	90.498854
25.214121	0.011836418	0.013235627	-65.853199	-0.00040538163	94.727716
26.314779	0.011838035	0.013235627	-66.954841	-0.00045477096	98.942586
27.414236	0.011839657	0.013235627	-68.038297	-0.00050689831	103.1424
28.512393	0.011841286	0.013235627	-69.104095	-0.00056411996	107.32608
29.609152	0.011842922	0.013235627	-70.153151	-0.00063022669	111.49258
30.704405	0.011844565	0.013235627	-71.185497	-0.00071224732	115.64081
31.798037	0.011846215	0.013235627	-72.201485	-0.00082365419	119.76961
32.889921	0.011847874	0.013235627	-73.201563	-0.00097382229	123.87776
33.979879	0.011849542	0.013235627	-74.185707	-0.0011706562	127.9635
35.067694	0.01185122	0.013235627	-75.154164	-0.0014180462	132.02471
36.153213	0.011852909	0.013235627	-76.106479	-0.0017124752	136.06014
37.236302	0.011854609	0.013235627	-77.041957	-0.0020444732	140.06885
38.316896	0.01185632	0.013235627	-77.961387	-0.0024015821	144.05074
